Address,Age of annuitant 1,Age of annuitant 2,Air conditioning,Alarm,As built plan,"As property tenant or owner, insure your real estate: fire, theft, water damage, storm, ...",Asking price excluding VAT and excl. notary fees (excluding eventual registration fees on the ground),Asking price excluding registration fees and excl. notary fees,Attic,Attic accesible with fixed stairs,Available as of,Bathrooms,Bedroom 1 area,Bedroom 2 area,Bedroom 3 area,Bedroom 4 area,Bedroom 5 area,Bedrooms,Building condition,CO₂ emission,Cable TV,Cadastral income,Cellar,Cellar area,Conformity certification for fuel tanks,Connection to sewer network,Current monthly revenue,Depth of plot,Dining room,Dining room area,Disabled access,Distance to school,Distance to shop,Distance to transports,District or place name,Double glazing,Dressing room,EPC - Energy consumption,EPC score,Find the mortgage formula and a borrowing rate that suits you the best!,Fireplaces,Flat land,Furnished,Garden,Garden area,Heat pump,Heating,Indexed annuity,Indoor parking spaces,Inspection report of the electrical installation,Intercom,Isolated attic,Jacuzzi,Kitchen area,Kitchen setup,Latest land use designation,Laundry room,Life annuity type,Lift,Living room,Living room area,Monthly annuity,Monthly charges,Name of the building,Net floor area,Newly built,Number of dwellings,Number of floors,Number of frontages,Number of lives,Number of outbuildings,Number of rooms,Office,Office area,Orientation,Orientation terrace,Outdoor parking spaces,Photovoltaic solar panels,Planning permission obtained,Plot area,Plot to front,Plot to rear,Possible priority purchase right,Proceedings for breach of planning regulations,Reference number of the EPC report,Reinforced door,Requested sale price,Reversionary annuity,Sauna,Setting,Shower rooms,Subdivision permit,Swimming pool,Tenement building,Terrace,Terrace area,Theoretical total energy consumption,Thermic solar panels,"To ensure your payments and your family safety in case of early death, you can take a Decreasing life insurance.",Toilets,Town planning,Type of flood-risk area,Value of the property,Width of plot to street,Width of street façade,Wooded land,Workspace,Workspace area,Year of construction
1200 Woluwe-Saint-Lambert        |          Ask for the exact address,,,,,Not specified,Choose your home insurance,,,,,Upon exchange of deeds,1,7 m2,12 m2,12 m2,28 m2,,4,To be done up,42 kg CO2/m2,,"€ 1,813",yes,,,,,,,,,,,,,yes,,215 kWh/m2,,Calculate your monthly installment,,,,yes,23 m2,,Gas,,1,"yes, conform",,,,6 m2,,,,,,yes,31 m2,,,,155 m2,,,3,2,,,,,,,,,,Not specified,,,,Not specified,Not specified,,,"€ 445,000",,,Residential,,Not specified,,,,,,,Insure your mortgage loan,2,,,,,6 m,,,,1962
Septakkers 57        | 3920 - Lommel,,,,,Not specified,Choose your home insurance,,,,,,1,,,,,,3,Good condition,,,€ 701,,,no,,,,,,,,,,,,,244 kWh/m2,,Calculate your monthly installment,,,,yes,623 m2,,Gas,,1,,,,,,Installed,"Living area (residential, urban or rural)",,,,yes,,,,,200 m2,,,,3,,,,,,North-West,,4,,yes,623 m2,,,no,no,,,"€ 255,000",,,Residential,,no,,,,,,,Insure your mortgage loan,1,,Property located in a non-flood zone,,,,,,,1958
1300 Wavre        |          Ask for the exact address,,,,,no,Choose your home insurance,,,,,Obligation locative à respecter - Huurovereenkomst,5,20 m2,15 m2,15 m2,12 m2,12 m2,13,,,,"€ 10,345",yes,,,,"€ 4,337",,yes,20 m2,,850 m,"2,278 m",391 m,,yes,,119 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,8,,,,,25 m2,Semi-equipped,,,,yes,,,,,,910 m2,,,4,4,,,,yes,,,,6,,yes,"5,044 m2",,,Not specified,Not specified,20180117016644 HELP,yes,"€ 2,400,000",,,,3,Not specified,,yes,yes,,"19,910 kWh/year",,Insure your mortgage loan,6,,,,,,,,,1992
Rue Nigely 43        | 6820 - Florenville Fontenoille,,,,,Not specified,Choose your home insurance,,,,,Upon exchange of deeds,1,18 m2,14 m2,21 m2,18 m2,8 m2,5,To be renovated,98 kg CO2/m2,,€ 488,,,,,,,yes,15 m2,,,,,FLORENVILLE,,,396 kWh/m2,,Calculate your monthly installment,,,,,,,Fuel,,2,no,,,,13 m2,Uninstalled,,,,,yes,,,,,204 m2,,,1,3,,,,yes,,,,2,,Not specified,500 m2,,,Not specified,Not specified,20170614010632 HELP,,"€ 130,000",,,Country,,Not specified,,,yes,,"99,999 kWh/year",,Insure your mortgage loan,3,,,,,,,,,1850
Chaussée des Barrières 20        | 6840 - Neufchâteau,,,,,Not specified,Choose your home insurance,,,,,Upon exchange of deeds,1,,,,,,4,To be done up,76 kg CO2/m2,,€ 704,yes,,,yes,,,yes,,,,,,NEUFCHATEAU,,,307 kWh/m2,,Calculate your monthly installment,,,,,,,Fuel,,1,"yes, not conform",,,,,Semi-equipped,,,,,yes,,,,,197 m2,,,1,4,,,,,,,,1,,Not specified,430 m2,,,Not specified,Not specified,20170404012086 HELP,,"€ 170,000",,,Country,,Not specified,,,,,"86,318 kWh/year",,Insure your mortgage loan,2,,,,,,,,,1900
Jufferstraat 1        | 3806 - SINT-TRUIDEN,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,,,,,,4,To be done up,,,€ 535,yes,,,,,,,,,,,,,yes,,399 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,1,"yes, not conform",,,,,Installed,Not specified,,,,yes,30 m2,,,,191 m2,,,,2,,,,,,South,,,,no,290 m2,,,no,no,20171031-0002006901-1 HELP,,"€ 186,000",,,,,no,,,yes,20 m2,,,Insure your mortgage loan,2,,Recognized flood zone,,,,,,,1959
Langestraat 12        | 3580 - Beringen,,,,,yes,Choose your home insurance,,,,,bij akte na betaling - bij akte na betaling - bij,1,,,,,,2,To be renovated,,,€ 544,,,"yes, conform",,,,yes,29 m2,,232 m,"1,510 m",35 m,,yes,,785 kWh/m2,,Calculate your monthly installment,1,,,,,,Fuel,,1,"yes, not conform",,,,12 m2,Semi-equipped,Not specified,,,,yes,34 m2,,,,201 m2,,,,4,,,,,,,,3,,Not specified,"3,696 m2",,,yes,no,20170519-0001961547-1 HELP,,"€ 199,000",,,,,yes,,,yes,,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,,,,,,1968
Heerbaan 137        | 3580 - Beringen,,,,,no,Choose your home insurance,,,,,bij akte na betaling - bij akte na betaling - bij,1,14 m2,12 m2,,,,1,Just renovated,,,€ 734,,,"yes, conform",,,50,yes,26 m2,,"3,500 m","2,400 m",500 m,,yes,,459 kWh/m2,,Calculate your monthly installment,1,,,yes,470 m2,,Fuel,,,"yes, not conform",,,,,,Not specified,,,,yes,33 m2,,,,230 m2,,,,3,,,,yes,17 m2,North-West,,3,,yes,600 m2,,,no,no,20170912-0001988674-1 HELP,,"€ 224,000",,,Urban,,yes,,,yes,,,,Insure your mortgage loan,3,,Property located in a non-flood zone,,13,8 m,,,,1952
rue de la Fosse 8        | 6724 - Habay Rulles,,,,,Not specified,Choose your home insurance,,,,,Upon exchange of deeds,3,23 m2,20 m2,22 m2,14 m2,15 m2,7,To be done up,94 kg CO2/m2,yes,"€ 1,499",,,,yes,,,,,,,,,HABAY,,,269 kWh/m2,,Calculate your monthly installment,,,,,,,Fuel,,,"yes, not conform",,,,,Semi-equipped,,,,,yes,,,,,433 m2,,,2,3,,,,,,,,3,,Not specified,250 m2,,,Not specified,Not specified,20170911006173 HELP,yes,"€ 230,000",,,Urban,,Not specified,,yes,,,"47,972 kWh/year",,Insure your mortgage loan,3,,,,,,,,,1950
Luitenant Naeyaertplein 20        | 2140 - Antwerp,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,3,30 m2,30 m2,18 m2,18 m2,15 m2,4,Good condition,,,€ 840,yes,,,,,,,,,20 m,20 m,100 m,,yes,,350 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,,"yes, conform",,,,17 m2,Hyper-equipped,Not specified,,,,yes,28 m2,,,,260 m2,,,2,2,,,,yes,,South-West,,,,Not specified,100 m2,,,yes,Not specified,,,"€ 249,000",,,,1,yes,,yes,,,,,Insure your mortgage loan,3,,,,,,,,,
August Van Landeghemstraat 114        | 2830 - Willebroek,,,,,no,Choose your home insurance,,,,,Overeen te komen - A convenir - To be established,1,,,,,,3,,"1,000 kg CO2/m2",,€ 570,yes,,,,,41,,,,20 m,270 m,450 m,,,,370 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,,"yes, not conform",,,,,Semi-equipped,"Living area (residential, urban or rural)",,,,,,,,,167 m2,,,2,2,,,,yes,,Northeast,,,,no,517 m2,,,yes,Not specified,20150329-0001745391-1 HELP,,"€ 270,000",,,shop street,,no,,,yes,,,,Insure your mortgage loan,,,Property located in a non-flood zone,,8,8 m,,,,1919
August Van Landeghemstraat 158        | 2830 - Willebroek,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,13 m2,13 m2,,,,3,,"1,000 kg CO2/m2",,€ 460,,,,,,44,,,,100 m,400 m,160 m,,yes,,415 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,,"yes, conform",,,,16 m2,Semi-equipped,Park area,,,,yes,27 m2,,,,160 m2,,,3,3,,,,yes,5 m2,Northeast,,,,yes,286 m2,,,yes,no,20171020-0002003869-1 HELP,,"€ 284,000",,,,,no,,,yes,,,,Insure your mortgage loan,2,,Possible flood zone,,6.5,,,,,1900
Nieuwe kerkstraat 50        | 9150 - Kruibeke,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,19 m2,18 m2,,,,3,Just renovated,,,€ 695,yes,,,,,52,,,,,,,,yes,,217 kWh/m2,,Calculate your monthly installment,,,,yes,235 m2,,Gas,,,"yes, conform",,,,13 m2,,"Living area (residential, urban or rural)",,,,yes,40 m2,,,,209 m2,,,,2,,,,yes,17 m2,West,,,,yes,363 m2,,,yes,no,1981270 HELP,,"€ 299,900",,,,1,Not specified,,,yes,25 m2,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,7,7 m,,,,1930
Rue des Genêts 19        | 4690 - Eben-Emael,,,,,no,Choose your home insurance,,,,,,1,,,,,,3,Good condition,,,"€ 1,286",yes,,,,,,,,,,,,,,,302 kWh/m2,,Calculate your monthly installment,,,,,,,Electric,,1,"yes, conform",,,,,Installed,"Living area (residential, urban or rural)",,,,,,,,,277 m2,,,,4,,,,,,,,,,yes,819 m2,,,Not specified,Not specified,20170531017401 HELP,,"€ 319,000",,,Country,,Not specified,,,yes,,"51,551 kWh/year",,Insure your mortgage loan,2,,,,,,,,,1993
Rue de la Sentinelle 27        | 6830 - Bouillon,,,,,Not specified,Choose your home insurance,,,,,Upon exchange of deeds,2,10 m2,13 m2,16 m2,18 m2,35 m2,5,Good condition,40 kg CO2/m2,,€ 666,,,,yes,,,,,,,,,BOUILLON,,,161 kWh/m2,,Calculate your monthly installment,,,,,,,Fuel,,1,"yes, conform",,,,18 m2,Hyper-equipped,,,,,yes,36 m2,,,,220 m2,,,3,4,,,,,,,,1,,Not specified,"1,125 m2",,,Not specified,Not specified,20170714019900 HELP,,"€ 335,000",,,Country,2,Not specified,,,yes,,"34,466 kWh/year",,Insure your mortgage loan,2,,,,,,,,,2000
Buret 22//A        | 6660 - Houffalize,,,,,Not specified,Choose your home insurance,,,,,Upon exchange of deeds,3,14 m2,12 m2,16 m2,16 m2,11 m2,5,As new,41 kg CO2/m2,,"€ 1,000",yes,,,,,,yes,,,,,,HOUFFALIZE,,,167 kWh/m2,,Calculate your monthly installment,,,,,,,Fuel,,,"yes, conform",,,,,Installed,,,,,,,,,,250 m2,,,2,4,,,,,,,,2,,yes,"2,451 m2",,,Not specified,Not specified,20161107004426 HELP,,"€ 350,000",,,Country,2,yes,,,yes,,"41,322 kWh/year",,Insure your mortgage loan,4,,,,,,,,,2010
Rue de l'Escaut 63        | 1080 - Molenbeek-Saint-Jean,,,,,Not specified,Choose your home insurance,,,,,Depending on the tenant,3,20 m2,17 m2,15 m2,13 m2,,4,To be done up,50 kg CO2/m2,,"€ 1,813",yes,65 m2,,,,,,,,,,,,yes,,230 kWh/m2,,Calculate your monthly installment,,,,yes,35 m2,,Gas,,,no,,,,12 m2,Semi-equipped,,,,,yes,17 m2,,,,213 m2,,,3,2,,,,,,,,,,Not specified,120 m2,,,Not specified,Not specified,0 HELP,,"€ 380,000",,,Urban,,Not specified,,yes,yes,26 m2,,,Insure your mortgage loan,3,,,,,,,,,1930
Rue Herkoliers 29/0        | 1090 - Jette,,,,,Not specified,Choose your home insurance,,,12 m2,,01/06/2018,2,18 m2,18 m2,16 m2,17 m2,17 m2,6,Good condition,,yes,"€ 1,427",yes,45 m2,no,yes,,20,yes,28 m2,,50 m,30 m,,Bruxelles (19 communes),yes,,,,Calculate your monthly installment,,,,,,,Gas,,,no,yes,,,28 m2,Hyper-equipped,Mixed living area (accommodation & economic activity),,,,yes,45 m2,,,,375 m2,,1,4,2,,,,yes,200 m2,,,,,yes,240 m2,,,no,no,en cours HELP,,"€ 425,000",,,Urban,2,yes,,,yes,50 m2,,,Insure your mortgage loan,3,,Property located in a non-flood zone,,6,6 m,,,20 m2,1905
Lode Sobrystraat 58        | 1800 - Vilvoorde,,,,,Not specified,Choose your home insurance,,,"15,656 m2",,,,23 m2,16 m2,13 m2,,,3,Good condition,,yes,€ 981,yes,6 m2,not specified,,,,yes,,,,,,,yes,,329 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,,,,,,10 m2,Installed,"Living area (residential, urban or rural)",,,,yes,,,,,177 m2,,,1,3,,,,,,South,South,,,no,210 m2,,,no,no,20170808-0001983591-1 HELP,,"€ 295,000",,,Residential,,no,,,yes,,,,Insure your mortgage loan,,,Property located in a non-flood zone,,7.8,5·3 m,,,,1950
Oude Dendermondsestraat 28B        | 2830 - Willebroek,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,17 m2,17 m2,10 m2,,,3,To be renovated,,,"€ 1,286",yes,,,,,49,,,,,,,,yes,,364 kWh/m2,,Calculate your monthly installment,,,,yes,24 m2,,Gas,,1,"yes, not conform",,,,15 m2,Installed,"Living area (residential, urban or rural)",,,,,,,,,174 m2,,,2,2,,,,,,South,,,,no,220 m2,,,no,no,20110917-0000922299-00000001-1 HELP,,"€ 229,000",,,,1,no,,,yes,24 m2,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,4.5,,,,,1933
Kampdreef 34        | 2970 - Schilde,,,,,no,Choose your home insurance,,,,,,1,16 m2,8 m2,,,,2,Good condition,,yes,€ 857,,,"yes, conform",,,,,,,,"1,500 m",500 m,,,,676 kWh/m2,,Calculate your monthly installment,1,,,,,,Fuel,,2,"yes, not conform",yes,,,15 m2,Installed,Residential park,,,,yes,32 m2,,,,157 m2,,,1,4,,,,,,Southeast,,,,no,"2,051 m2",,,no,no,,,"€ 389,000",,,Residential,1,no,,,,,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,,,,,,1961
1400 Nivelles        |          Ask for the exact address,,,,,Not specified,Choose your home insurance,,,,,Upon exchange of deeds,1,7 m2,11 m2,,,,2,Good condition,,yes,€ 317,yes,,no,yes,,25,yes,8 m2,,280 m,450 m,,Nivelles et environs,,,336 kWh/m2,,Calculate your monthly installment,,,,yes,38 m2,,Gas,,,"yes, conform",,,,10 m2,Hyper-equipped,,,,,yes,13 m2,,,,72 m2,,,1,2,,,,,,,,1,,Not specified,88 m2,,,no,Not specified,20120228006081 HELP,,"€ 229,000",,,Urban,,no,,,yes,,"30,780 kWh/year",,Insure your mortgage loan,1,,Property located in a non-flood zone,,3.5,,,,,1900
1950 Kraainem        |          Ask for the exact address,,,,yes,Not specified,Choose your home insurance,,,,,01/03/2018,3,28 m2,16 m2,16 m2,14 m2,,4,As new,52 kg CO2/m2,,"€ 5,404",yes,40 m2,,yes,,,,,,450 m,500 m,,Est de Bruxelles + VL,yes,,210 kWh/m2,,Calculate your monthly installment,,,,yes,"1,400 m2",,Fuel,,4,"yes, not conform",,,,36 m2,Hyper-equipped,Not specified,,,,yes,55 m2,,,,310 m2,,,1,4,,,,yes,,,,2,,Not specified,"1,622 m2",,,Not specified,Not specified,20170610-0001968545- HELP,,"€ 995,000",,,Residential,,Not specified,,,yes,52 m2,,,Insure your mortgage loan,5,,Property located in a non-flood zone,,26,17·5 m,,,,1960
Rue Duresse 44        | 4500 - Huy,,,,,Not specified,Choose your home insurance,,,,,Immediately,1,,,,,,2,Good condition,,yes,€ 835,,,,,,,,,,"1,000 m","1,500 m",500 m,,yes,,621 kWh/m2,,Calculate your monthly installment,,,yes,,,,Gas,,,"yes, conform",yes,,,,Installed,,,,,,,,,,100 m2,,,1,3,,,,,,,South-West,,,Not specified,122 m2,,,Not specified,Not specified,,,"€ 154,000",,,Residential,,Not specified,,,yes,10 m2,"18,000 kWh/year",,Insure your mortgage loan,1,,,,,7 m,,,,1979
Voortstraat 32        | 2890 - OPPUURS,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,19 m2,16 m2,15 m2,,,3,To be renovated,,,€ 835,yes,,"yes, conform",,,57,,,,,,,,yes,,633 kWh/m2,,Calculate your monthly installment,,,,,,,Fuel,,1,"yes, not conform",,,,8 m2,Semi-equipped,"Living area (residential, urban or rural)",,,,yes,33 m2,,,,256 m2,,,2,4,,,,,,North-West,,1,,yes,975 m2,,,no,no,20170924-0001996312-1 HELP,,"€ 324,000",,,,,no,,,yes,30 m2,,,Insure your mortgage loan,1,,Property located in a non-flood zone,,17,9 m,,,,1958
Neervelpsestraat 5        | 3360 - Bierbeek,,,,yes,no,Choose your home insurance,,,,,Upon exchange of deeds,1,18 m2,16 m2,8 m2,,,3,Good condition,,,"€ 1,739",yes,7 m2,,,,43,,,,450 m,400 m,100 m,,yes,,231 kWh/m2,,Calculate your monthly installment,1,,,yes,400 m2,,Gas,,3,"yes, conform",,,,17 m2,Installed,Not specified,yes,,,yes,45 m2,,,,175 m2,,,3,4,,,,,,North,,6,,yes,902 m2,,,no,no,20161114-000190747-1 HELP,,"€ 415,000",,,Residential,,no,,,yes,25 m2,,,Insure your mortgage loan,2,,Possible flood zone,,20,10 m,,,,1980
Avenue de la Faisanderie 1        | 1150 - Woluwe-St-Pierre,,,,,Not specified,Choose your home insurance,,,3 m2,,Upon exchange of deeds,2,25 m2,24 m2,19 m2,18 m2,13 m2,5,To be done up,76 kg CO2/m2,yes,"€ 3,715",yes,30 m2,,yes,,,yes,30 m2,,"1,000 m","1,000 m",80 m,FAISANDERIE / AV DE TERVUREN / TROIS COULEURS,yes,yes,364 kWh/m2,,Calculate your monthly installment,1,yes,,yes,500 m2,,Gas,,2,"yes, conform",,,,15 m2,Installed,,yes,,,yes,25 m2,,€ 250,Architecte Van Molders,256 m2,,1,2,4,,,,yes,,,South,2,,Not specified,709 m2,yes,,Not specified,Not specified,PEB G (364 EP kWh/m²/an - 76 kg CO2/m²/an) HELP,,"€ 890,000",,,Residential,,Not specified,,,yes,50 m2,,,Insure your mortgage loan,3,,,,20,9·5 m,,,,1953
Mellestraat 85        | 8501 - HEULE,,,,,no,Choose your home insurance,,,,,,1,,,,,,3,As new,,,€ 619,yes,,,,,,,,,,,,,yes,,187 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,,,,,,,Semi-equipped,Not specified,,,,,,,,,176 m2,,,,2,,,,,,South-West,,,,Not specified,475 m2,,,yes,Not specified,20171122-0002012777-1 HELP,,"€ 248,000",,,,,yes,,,yes,,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,,,,,,
Heesterweg 18        | 3580 - Beringen,,,,,no,Choose your home insurance,,,,,bij akte na betaling - bij akte na betaling - bij,1,14 m2,9 m2,,,,3,Good condition,,,€ 761,yes,,,,,40,,,,,,,,yes,,287 kWh/m2,,Calculate your monthly installment,,,,yes,765 m2,,Gas,,4,"yes, not conform",,,,17 m2,Semi-equipped,Not specified,,,,yes,34 m2,,,,195 m2,,,,4,,,,yes,,South,,2,,Not specified,971 m2,,,Not specified,Not specified,20170810-0001984297-1 HELP,,"€ 274,000",,,,,Not specified,,,yes,,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,30,16 m,,,,1982
6990 Hotton        |          Ask for the exact address,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,,,,,,4,To be renovated,"1,000 kg CO2/m2",,,yes,,,,,60,,,,,,,,yes,,766 kWh/m2,,Calculate your monthly installment,,,,,,,Fuel,,2,"yes, not conform",,,,,Uninstalled,,,,,yes,31 m2,,,,127 m2,,,,4,,,,,,South,,3,,yes,"1,831 m2",,,no,no,20170515014222 HELP,,"€ 179,000",,,Country,,yes,,,,,"115,290 kWh/year",,Insure your mortgage loan,2,,Property located in a non-flood zone,,30,9 m,,,,1975
Moinet 2/M        | 6600 - Bastogne,,,,,Not specified,Choose your home insurance,,,90 m2,,Upon exchange of deeds,1,,,,,,3,As new,34 kg CO2/m2,,€ 743,yes,,,,,,yes,,,,,,BASTOGNE,,,141 kWh/m2,,Calculate your monthly installment,,,,,,,Fuel,,1,,,,,,Hyper-equipped,,,,,,,,,,180 m2,,,3,3,,,,yes,,,,2,,yes,550 m2,,,Not specified,Not specified,RWPEB-017332.12 HELP,,"€ 250,000",,,Country,,Not specified,,,yes,,"24,049 kWh/year",,Insure your mortgage loan,2,,,,,10 m,,,,2012
Route d'Arlon 1        | 6630 - Martelange,,,,,Not specified,Choose your home insurance,,,,,Upon exchange of deeds,1,,,,,,3,Good condition,61 kg CO2/m2,,€ 584,yes,,,yes,,,,,,,,,MARTELANGE,,,248 kWh/m2,,Calculate your monthly installment,,,,,,,Fuel,,2,"yes, conform",,,,,Installed,,,,,yes,,,,,,,,2,3,,,,,,,,,,Not specified,122 m2,,,Not specified,Not specified,20171215012640 HELP,,"€ 152,000",,,Urban,,Not specified,,,yes,,"43,300 kWh/year",,Insure your mortgage loan,2,,,,,,,,,1850
Ladderstraat 46        | 3620 - Lanaken,,,,,no,Choose your home insurance,,,,,bij akte na betaling - bij akte na betaling - bij,1,15 m2,15 m2,9 m2,,,3,To be done up,,,€ 676,yes,,"yes, conform",,,89,yes,31 m2,,270 m,700 m,270 m,,yes,,756 kWh/m2,,Calculate your monthly installment,,,,,,,Fuel,,1,"yes, not conform",,,,11 m2,Semi-equipped,Not specified,,,,,,,,,164 m2,,,3,4,,,,,,South,,3,,Not specified,"1,045 m2",,,no,Not specified,20171112-0002009782-1 HELP,,"€ 219,000",,,,,Not specified,,,yes,17 m2,,,Insure your mortgage loan,1,,Circumscribed flood zone,,12,,,,,1961
Lindestraat 1        | 3800 - SINT-TRUIDEN,,,,,no,Choose your home insurance,,,,,bij akte na betaling - bij akte na betaling - bij,1,18 m2,15 m2,12 m2,,,2,Just renovated,,,€ 951,yes,,"yes, conform",,,100,,,,,,,,yes,,524 kWh/m2,,Calculate your monthly installment,,,,yes,13 m2,,Fuel,,4,"yes, conform",,,,16 m2,Semi-equipped,Not specified,,,,yes,42 m2,,,,473 m2,,,1,4,,,,yes,,North-West,,2,,Not specified,"1,597 m2",,,Not specified,Not specified,,,"€ 299,000",,,Urban,,Not specified,,,yes,,,,Insure your mortgage loan,,,,,16,10 m,,,,1951
Bosduinstraat 130        | 2990 - Wuustwezel,,,,,no,Choose your home insurance,,,,,Immediately,1,,,,,,3,Good condition,,,"€ 1,018",,,,,,50,,,,,,,,yes,,442 kWh/m2,,Calculate your monthly installment,1,,,yes,631 m2,,Gas,,1,"yes, not conform",,,,,Installed,"Living area (residential, urban or rural)",,,,yes,35 m2,,,,185 m2,,,1,4,,,,yes,9 m2,,,2,,yes,805 m2,,,no,no,20170621-0001970976-1 HELP,,"€ 339,000",,,,,yes,,,yes,30 m2,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,16,,,,,1987
Laneaustraat 12        | 1020 - Brussels City,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,2,,,,,,4,To be done up,131 kg CO2/m2,,"€ 2,359",yes,,"yes, conform",,,,,,,,,,,yes,,505 kWh/m2,,Calculate your monthly installment,,,,,,,Fuel,,,"yes, not conform",,,,,Semi-equipped,"Living area (residential, urban or rural)",,,,,,,,,324 m2,,,3,2,,,,yes,,South,,,,no,270 m2,,,no,no,20170908-0000511705-01-0 HELP,,"€ 499,000",,,shop street,,no,,,yes,20 m2,,,Insure your mortgage loan,3,,Property located in a non-flood zone,,,,,,,1930
Heide 46        | 2235 - WESTMEERBEEK,,,,yes,no,Choose your home insurance,,,,,Upon exchange of deeds,2,26 m2,10 m2,,,,3,Good condition,"1,000 kg CO2/m2",,"€ 1,925",yes,,"yes, conform",,,,yes,39 m2,,"1,800 m","3,300 m","1,200 m",,yes,,380 kWh/m2,,Calculate your monthly installment,1,,,,,,Fuel,,2,"yes, conform",,,,17 m2,Installed,Farming area,,,,yes,30 m2,,,,268 m2,,,2,4,,,,yes,9 m2,South,,3,,yes,"15,007 m2",,,yes,Not specified,20170410-0001949310-2 HELP,,"€ 745,000",,,,1,no,,,yes,,,,Insure your mortgage loan,3,,Property located in a non-flood zone,,,,,,,1952
Hof Ten Voordestraat 23a        | 1800 - Vilvoorde,,,,yes,Not specified,Choose your home insurance,,,,,,,8 m2,15 m2,17 m2,11 m2,10 m2,5,Good condition,,,"€ 1,728",,,not specified,,,,,,,,,,,yes,,100 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,,,,,,,,Not specified,,,,yes,40 m2,,,,240 m2,,,1,3,,,,,,,,,,yes,240 m2,,,no,no,23088-G-2009/00168/EP02369/L014/D01/SD00 HELP,,"€ 425,000",,,Residential,,no,,,yes,21 m2,,,Insure your mortgage loan,,,Property located in a non-flood zone,,,7 m,,,,2009
Rue Horlitin 17        | 7750 - Mont-de-l'Enclus,,,,,no,Choose your home insurance,,,,,,2,21 m2,18 m2,17 m2,14 m2,,4,To be renovated,,,€ 711,yes,30 m2,,,,,,,,,,,,,,506 kWh/m2,,Calculate your monthly installment,,,,,,,,,2,"yes, not conform",,,,17 m2,Semi-equipped,,,,,,,,,,360 m2,,,,4,,,,yes,,West,,,,Not specified,"1,470 m2",,,Not specified,Not specified,20171121019008 HELP,,"€ 249,000",,,,,Not specified,,,yes,,,,Insure your mortgage loan,,,,,,,,,,
Roerdompenlaan 14        | 3550 - Heusden-Zolder,,,,,no,Choose your home insurance,,,,,bij akte na betaling - bij akte na betaling - bij,1,15 m2,15 m2,7 m2,,,3,To be done up,,,€ 949,yes,,"yes, conform",,,38,yes,24 m2,,700 m,650 m,375 m,,yes,,753 kWh/m2,,Calculate your monthly installment,1,,,,,,,,1,"yes, not conform",,,,15 m2,Installed,Not specified,,,,yes,25 m2,,,,266 m2,,,1,4,,,,,,South,,1,,Not specified,776 m2,,,yes,no,20170830-0001989190-1 HELP,,"€ 249,500",,,Residential,,yes,,,,,,,Insure your mortgage loan,1,,Property located in a non-flood zone,,20,8 m,,,,1974
Rue Salvador Allende 3        | 4610 - Beyne Heusay,,,,yes,Not specified,Choose your home insurance,,,22 m2,,Upon exchange of deeds,1,16 m2,13 m2,10 m2,12 m2,,4,Good condition,,yes,"€ 1,252",,,,,,,yes,21 m2,,,,,,yes,,228 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,,,,,,15 m2,Installed,,,,,,,,,,235 m2,,,2,4,,,,,,,,,,Not specified,990 m2,,,Not specified,Not specified,20130628017132 HELP,,"€ 299,000",,,,,Not specified,,,yes,32 m2,"45,632 kWh/year",,Insure your mortgage loan,2,,,,,8 m,,,,2002
avenue Copernic 19         | 1180 - Uccle,,,,,Not specified,Choose your home insurance,,,,,Disponible à l'acte/Beschikbaar bij de akte,3,20 m2,16 m2,16 m2,16 m2,,4,Good condition,64 kg CO2/m2,,"€ 6,478",yes,,not specified,,,,,,,,,,Uccle,yes,,274 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,1,no,,,,30 m2,,,yes,,,,,,,,350 m2,,,1,4,,,6,yes,40 m2,South-West,,1,,yes,"1,100 m2",,,Not specified,no,20170317test HELP,,"€ 1,550,000",,,Urban,,Not specified,,,yes,,,,Insure your mortgage loan,3,,,,,27 m,,,40 m2,1963
